Latitude,Longitude,Accident_Date,Accident_Time,Light_Condition,Speed_Zone
-37.80062,145.1542,8/4/2014,0.7625,0.5,0.8333
-37.82571,145.28878,8/4/2014,0.7688,0.5,0.5833
-37.79375,144.98209,8/4/2014,0.6021,1,0.5
-37.77043,144.79453,8/4/2014,0.8333,0,0.6667
-38.33967,143.58838,8/4/2014,0.7308,0.5,0.4167
-37.65635,145.08011,24/3/2014,0.4583,0,0.6667
-38.00154,145.29436,6/4/2014,0.7208,0.5,0.8333
-37.81363,144.97289,18/3/2014,0.3875,1,0.3333
-37.80869,144.95781,9/4/2014,0.3496,1,0.3333
-37.77523,145.16444,9/4/2014,0.3979,1,0.5
-37.81209,144.94525,9/4/2014,0.3458,1,0.5
-37.85046,144.98423,21/2/2014,0.5242,1,0.5
-37.78976,144.97184,17/2/2014,0.7708,1,0.4167
-37.93486,145.04968,21/2/2014,0.5071,1,0.5833
-37.64005,145.49826,21/2/2014,0.6,1,0.5833
-37.82758,145.59717,21/2/2014,0.675,1,0.8333
-37.93801,145.18939,21/2/2014,0.6687,1,0.5
-36.60099,143.94055,21/2/2014,0.7083,1,0.5
-37.24581,144.02409,21/2/2014,0.675,1,0.8333
-37.76425,144.74084,1/11/2013,0.7562,0,0.6667
-38.16055,145.13584,21/2/2014,0.8792,0.5,0.5833
-37.78548,144.9948,21/2/2014,0.9729,0.5,0.5
-37.68827,144.47334,22/2/2014,0.0125,0,0.5833
-37.69851,146.39126,8/3/2014,0.75,0.5,0.8333
-37.82595,144.96486,8/3/2014,0.8554,0.5,0.6667
-38.06041,144.42673,9/3/2014,0.4583,1,0.5
-38.11483,144.6514,9/3/2014,0.5208,1,0.5
-37.8147,144.95776,9/3/2014,0.4188,1,0.3333
-37.74549,145.00631,8/3/2014,0.7979,0.5,0.5
-37.88703,145.0782,9/3/2014,0.5542,1,0.6667
-37.6928,144.991,9/3/2014,0.0042,0.5,0.5833
-38.20076,144.32479,9/3/2014,0.9229,0.5,0.4167
-37.799,144.97023,20/2/2014,0.7271,1,0.5
-36.36249,145.41579,1/3/2014,0.3458,1,0.5
-37.85288,144.96227,9/3/2014,0.3875,1,0.5
-37.80973,144.9368,10/3/2014,0.3042,0.5,0.5
-37.99109,145.18253,26/3/2014,0.5917,1,0.5
-37.28212,144.59141,26/3/2014,0.2729,0,0.8333
-37.81734,144.96782,22/3/2014,0.7688,0.5,0.4167
-37.55815,143.84433,26/3/2014,0.7271,0.5,0.4167
-37.84209,145.0414,26/3/2014,0.7979,0.5,0.5
-37.78074,144.99396,27/3/2014,0.1062,0.5,0.5
-37.58559,148.99239,26/3/2014,0.7529,0.5,0.8333
-38.0846,145.29596,27/3/2014,0.3875,1,0.6667
-36.23889,145.53162,26/3/2014,0.8938,0,0.8333
-37.80716,144.99177,27/3/2014,0.3762,1,0.4167
-37.88233,145.0298,4/3/2014,0.4271,1,0.5
-38.00795,145.27683,24/3/2014,0.3396,1,0.6667
-37.91158,145.16416,14/3/2014,0.375,1,0.8333
-36.38495,145.42023,9/4/2014,0.5021,1,0.5
-37.57764,143.84322,9/4/2014,0.5583,1,0.5
-37.77833,144.84047,9/4/2014,0.4708,1,0.5833
-38.0338,145.25265,9/4/2014,0.5938,1,0.4167
-37.73773,145.13435,9/4/2014,0.6458,1,0.6667
-37.77411,145.03979,8/4/2014,0.7704,0.5,0.5
-37.89078,144.63003,9/4/2014,0.6438,1,0.4167
-37.83549,145.03301,9/4/2014,0.7208,0.5,0.5
-37.96829,145.05987,9/4/2014,0.7083,0.5,0.6667
-37.84504,145.00382,9/4/2014,0.125,0.5,0.5
-37.7853,144.99496,22/2/2014,0.3875,1,0.5
-37.76503,145.08257,27/10/2013,0.6708,1,0.5833
-38.40144,144.99469,22/2/2014,0.5,1,0.8333
-38.15019,146.47014,21/2/2014,0.6292,1,0.8333
-37.68622,145.06813,22/2/2014,0.4333,1,0.6667
-37.87148,145.14221,22/2/2014,0.5625,1,0.5
-36.0656,146.37319,22/2/2014,0.6417,1,0.8333
-36.89249,145.89456,22/2/2014,0.5958,1,0.8333
-37.80037,144.90484,18/2/2014,0.6792,1,0.5
-37.80326,144.89239,22/2/2014,0.6438,1,0.5
-37.79933,145.28682,22/2/2014,0.875,0.5,0.5
-37.77485,145.58239,23/2/2014,0.0125,0.5,0.6667
-37.80398,144.8828,10/3/2014,0.3917,1,0.5
-37.7814,144.75478,10/3/2014,0.5188,1,0.6667
-37.97431,145.0684,8/3/2014,0.5125,1,0.4167
-37.10445,143.92283,10/3/2014,0.5929,1,0.5
-38.17796,144.38755,10/3/2014,0.9604,0.5,0.4167
-37.7358,144.98139,10/3/2014,0.6854,1,0.5
-37.83583,144.92061,11/3/2014,0.3,0.5,0.5
-37.92011,145.1207,19/2/2014,0.7917,0.5,0.4167
-37.69697,145.22275,11/3/2014,0.4667,1,0.6667
-37.79777,144.99331,31/12/2013,0.5542,1,0.5
-36.65024,145.03231,9/3/2014,0.5,1,0.8333
-34.27429,140.97914,8/3/2014,0.3333,1,0.9167
-38.03453,145.2584,9/3/2014,0.8104,0.5,0.5
-38.27741,145.81617,26/3/2014,0.8958,0,0.8333
-37.73954,144.82356,30/11/2013,0.3875,1,0.6667
-37.69521,144.60152,27/3/2014,0.2696,0.5,0.9167
-37.88674,145.10804,28/3/2014,0.2917,0.5,0.8333
-37.20666,145.07759,26/3/2014,0.2167,0,0.8333
-37.90516,145.29547,28/3/2014,0.3375,1,0.6667
-37.69685,148.63782,28/3/2014,0.3792,1,0.8333
-37.8636,145.0811,25/3/2014,0.7625,0.5,0.5
-37.77789,144.7737,27/3/2014,0.675,1,0.5
-38.26508,145.0729,28/3/2014,0.6438,1,0.6667
-36.71699,144.24671,28/3/2014,0.6833,1,0.5
-38.24693,145.10213,14/2/2014,0.7708,1,0.5833
-34.18676,142.15845,26/3/2014,0.5542,1,0.4167
-37.79305,144.97572,10/4/2014,0.8154,0.5,0.5
-38.08631,142.51654,10/4/2014,0.1833,0,0.8333
-37.98621,145.21251,13/3/2014,0.5833,1,0.3333
-37.85864,144.66741,3/4/2014,0.6833,1,0.5
-37.8104,145.37326,9/4/2014,0.3792,1,0.5
-37.71099,145.08502,11/4/2014,0.4688,1,0.6667
-37.72938,142.00517,11/4/2014,0.5008,1,0.4167
-34.19842,142.13487,11/4/2014,0.6021,1,0.4167
-37.81469,145.03682,4/4/2014,0.7979,0.5,0.5
-37.64632,148.83405,11/4/2014,0.8333,0,0.8333
-37.7531,144.78185,8/4/2014,0.7642,0.5,0.5
-37.8299,144.97132,23/2/2014,0.1396,0.5,0.5
-38.15634,145.17068,23/2/2014,0.4208,1,0.6667
-37.65483,145.50514,23/2/2014,0.5125,1,0.5
-37.83696,145.22737,23/2/2014,0.55,1,0.5
-37.82807,144.96165,23/2/2014,0.05,0.5,0.5
-37.58326,144.7304,23/2/2014,0.7725,1,0.5
-37.89743,145.06759,21/2/2014,0.5417,1,0.4167
-37.79251,144.77163,18/2/2014,0.2296,0.5,0.5833
-37.72959,145.04997,11/3/2014,0.6875,1,0.4167
-37.73815,144.93699,11/3/2014,0.7083,0.5,0.5
-37.93295,145.03402,12/3/2014,0.0187,0.5,0.6667
-37.46041,143.85729,17/2/2014,0.425,1,0.8333
-37.5442,143.82127,12/3/2014,0.2625,0.5,0.5833
-38.36166,144.89781,8/3/2014,0.8938,0.5,0.4167
